Alfa Romeo,159,2008,2550.0,301711.0,Diesel,Manuala,Sedan,1910,120.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-159-ver-1-9-jtdm-8v-dpf-progression-ID7HJljr.html
Alfa Romeo,159,2006,3000.0,205000.0,Diesel,Automata,Sedan,1956,136.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-159-ID7HJhGi.html
Alfa Romeo,159,2011,5990.0,168989.0,Benzina,Manuala,Sedan,1796,140.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-159-ver-1-8-mpi-16v-impression-ID7HG5Hj.html
Alfa Romeo,Stelvio,2021,19999.0,198000.0,Diesel,Automata,SUV,2143,190.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-stelvio-ver-2-2-diesel-16v-at8-q4-super-ID7HiCRI.html
Alfa Romeo,Giulia,2020,22022.0,84000.0,Diesel,Automata,Sedan,2143,190.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-giulia-ID7HJcbW.html
Alfa Romeo,Stelvio,2023,33989.99,32347.0,Benzina,Automata,SUV,1995,280.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-stelvio-ver-2-0-turbo-awd-at8-ti-ID7HABq0.html
Alfa Romeo,Giulietta,2013,5999.0,244000.0,Diesel,Automata,Compacta,1956,170.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-giulietta-ver-2-0-jtdm-16v-tct-turismo-ID7HI7q9.html
Alfa Romeo,Giulia,2018,12290.0,210000.0,Diesel,Automata,Sedan,2143,136.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-giulia-ID7HA0Ns.html
Alfa Romeo,Mito,2010,4490.0,218000.0,Benzina,Automata,Masina mica,1368,140.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-mito-ver-tb-1-4-16v-multiair-tct-racer-ID7HHMVF.html
Alfa Romeo,Stelvio,2018,22990.0,80000.0,Diesel,Automata,SUV,2143,180.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-stelvio-ver-2-2-jtdm-super-ID7HGJbZ.html
Alfa Romeo,Stelvio,2018,21950.0,143310.0,Benzina,Automata,SUV,1995,200.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-stelvio-ver-2-0-turbo-16v-at8-q4-executive-ID7HJ5xm.html
Alfa Romeo,Stelvio,2018,22990.0,80000.0,Diesel,Automata,SUV,2143,180.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-stelvio-ver-2-2-jtdm-awd-super-ID7HFNnc.html
Alfa Romeo,Giulia,2017,15800.0,162000.0,Diesel,Automata,Sedan,2143,210.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-giulia-ver-2-2-diesel-at8-q4-tributo-italiano-ID7HJm6A.html
Alfa Romeo,Giulia,2020,14990.0,201200.0,Diesel,Automata,Sedan,2143,190.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-giulia-ID7HHdtE.html
Alfa Romeo,Stelvio,2021,21990.0,134053.0,Diesel,Automata,SUV,2143,190.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-stelvio-ver-2-2-diesel-16v-at8-q4-business-ID7HIfUe.html
Alfa Romeo,Giulia,2017,16499.0,189681.0,Diesel,Automata,Sedan,2143,209.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-giulia-ver-2-2-diesel-at8-q4-veloce-ID7HHeii.html
Alfa Romeo,Stelvio,2019,14489.99,198463.0,Diesel,Automata,SUV,2143,190.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-stelvio-ver-2-2-jtdm-at8-super-ID7HE8Wy.html
Alfa Romeo,Stelvio,2018,20499.0,126166.0,Benzina,Automata,SUV,1995,280.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-stelvio-ver-2-0-turbo-awd-at8-super-ID7HHiGU.html
Alfa Romeo,Giulietta,2011,2400.0,330000.0,Diesel,Manuala,Compacta,1598,105.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-giulietta-ver-1-6-jtdm-16v-ID7HHUzX.html
Alfa Romeo,Stelvio,2018,20900.0,176000.0,Benzina,Automata,SUV,1995,200.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-stelvio-ID7HkuxL.html
Alfa Romeo,Tonale,2023,32490.0,16480.0,Hibrid Plug-In,Automata,SUV,1332,280.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-tonale-ver-1-3t-phev-q4-280-cp-at6-edizione-speciale-ID7HI675.html
Alfa Romeo,Spider,2007,10500.0,99135.0,Diesel,Manuala,Cabrio,2387,200.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-spider-ver-2-4-jtdm-20v-dpf-ID7HCx14.html
Alfa Romeo,Brera,2007,5500.0,175500.0,Diesel,Manuala,Coupe,2387,200.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-brera-ver-2-4-multijet-sky-view-ID7HwxED.html
Alfa Romeo,159,2008,2999.0,213000.0,Diesel,Manuala,Sedan,1910,150.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-159-ID7HJgUf.html
Alfa Romeo,Brera,2008,6500.0,180000.0,Diesel,Automata,Coupe,2387,200.0,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-brera-ver-2-4-multijet-aut-ID7HFxBk.html
